		
4B	C. implexa	0.6154093215
6A	C. implexa	1.1350789606
12B	C. implexa	17.0903524603
12C	C. implexa	4.2670711135
13A	C. implexa	2.7511024315
14C	C. implexa	5.954235592
15B	C. implexa	4.8922796828
16A	C. implexa	6.6981305924
16B	C. implexa	8.8329378879
16C	C. implexa	3.0782673713
17A	C. implexa	2.5749668599
17B	C. implexa	9.3836647588
18A	C. implexa	0.0240443283
18C	C. implexa	9.2397305904
19A	C. implexa	5.2684469966
21B	C. implexa	1.2292446549
22B	C. implexa	37.683253797
22C	C. implexa	5.5697377283
23A	C. implexa	1.8587805381
23C	C. implexa	3.139508701
29A	C. implexa	1.2378819435
29B	C. implexa	5.9009479961
