		
2B	Padina sp. and C. implexa	4.3317111244
4A	Padina sp. and C. implexa	6.1270622767
8C	Padina sp. and C. implexa	3.6069306457
10A	Padina sp. and C. implexa	12.6017917317
10B	Padina sp. and C. implexa	4.0149102483
11B	Padina sp. and Saragassum sp.	0.2637093422
11C	Padina sp. and Saragassum sp.	1.2872025306
13B	Padina sp. and C. implexa	49.509410646
13C	Padina sp. and C. implexa	18.5816627155
14A	Padina sp. and C. implexa	0.9055630218
15A	Padina sp. and C. implexa	2.0127474334
19B	Padina sp. and C. implexa	48.3557479526
19C	Padina sp. and C. implexa	2.7138573433
20A	Padina sp. and C. implexa	2.8117256884
20B	Padina sp. and C. implexa	10.2550905488
21A	Padina sp. and C. implexa	5.5030934059
24A	Padina sp. and C. implexa	0.7218855576
24B	Padina sp. and C. implexa	0.5808735425
30A	Padina sp. and Saragassum sp.	4.0934921267
30B	Padina sp. and Saragassum sp.	2.5809501375
32A	Padina sp. and Saragassum sp.	2.2418060847
32B	C. implexa and Saragassum sp.	1.3581942081
32C	Padina sp. and Saragassum sp.	1.9959180972
33B	Padina sp. and C. implexa	0.0738059845
33C	Padina sp. and C. implexa	2.4351349299
